Date,Close/Last,Volume,Open,High,Low
12/19/2025,$68.40,10334,$70.00,$70.69,$67.043
12/18/2025,$71.83,8375,$68.48,$72.908,$68.48
12/17/2025,$70.70,8674,$74.47,$74.47,$70.56
12/16/2025,$72.811,7661,$71.50,$76.36,$71.50
12/15/2025,$73.45,9250,$73.50,$76.62,$73.344
12/12/2025,$73.90,8175,$73.328,$77.502,$73.328
12/11/2025,$74.395,15961,$72.31,$76.86,$72.31
12/10/2025,$74.38,11096,$72.95,$74.50,$71.40
12/09/2025,$75.25,8668,$73.74,$78.67,$73.74
12/08/2025,$79.00,6105,$81.77,$81.77,$78.235
12/05/2025,$79.50,8708,$82.659,$82.671,$79.01
12/04/2025,$82.30,4658,$85.051,$85.051,$80.80
12/03/2025,$80.80,11251,$84.19,$84.19,$79.66
12/02/2025,$82.10,5236,$80.35,$85.33,$80.35
12/01/2025,$86.234,2486,$81.65,$86.5899,$81.65
11/28/2025,$84.20,3376,$87.069,$87.069,$82.995
11/26/2025,$84.321,5379,$83.61,$86.616,$82.06
11/25/2025,$83.645,7426,$86.65,$86.65,$81.71
11/24/2025,$86.1681,3654,$82.60,$87.079,$82.60
11/21/2025,$86.00,4503,$86.847,$86.891,$83.647
11/20/2025,$83.8325,3983,$84.01,$86.535,$82.559
11/19/2025,$83.45,2270,$86.25,$86.25,$81.94
11/18/2025,$84.323,3145,$87.46,$87.46,$82.892
11/17/2025,$85.05,6076,$86.425,$88.60,$84.512
11/14/2025,$87.55,4092,$88.48,$88.48,$84.93
11/13/2025,$86.71,4682,$90.49,$90.49,$85.55
11/12/2025,$88.297,2120,$87.934,$92.078,$87.87
11/11/2025,$89.77,4662,$90.692,$91.00,$86.21
11/10/2025,$87.70,10872,$89.00,$89.88,$85.38
11/07/2025,$89.854,4894,$91.00,$92.041,$88.03
11/06/2025,$91.14,1566,$91.00,$93.611,$89.12
11/05/2025,$86.39,5486,$92.48,$92.48,$86.39
11/04/2025,$88.65,10146,$91.40,$92.06,$84.532
11/03/2025,$86.35,13753,$86.751,$86.751,$84.18
10/31/2025,$86.22,10193,$84.00,$87.52,$82.52
10/30/2025,$83.85,2191,$86.21,$86.21,$82.70
10/29/2025,$84.65,3275,$82.76,$87.71,$82.76
10/28/2025,$86.40,3208,$88.20,$88.20,$84.00
10/27/2025,$86.35,4490,$85.00,$87.73,$82.77
10/24/2025,$85.938,6572,$86.68,$86.68,$81.86
10/23/2025,$86.886,3405,$88.1199,$88.1199,$83.17
10/22/2025,$85.40,2132,$85.99,$87.817,$83.936
10/21/2025,$87.63,2011,$88.00,$88.475,$86.00
10/20/2025,$86.3136,2838,$87.93,$87.93,$83.02
10/17/2025,$82.536,1690,$85.00,$86.179,$81.694
10/16/2025,$82.302,2968,$83.06,$83.06,$78.75
10/15/2025,$82.50,4062,$84.904,$84.95,$80.88
10/14/2025,$81.78,3519,$83.594,$83.78,$79.62
10/13/2025,$79.45,3887,$82.50,$82.50,$77.50
10/10/2025,$78.75,3037,$82.93,$82.93,$78.0701
10/09/2025,$83.22,2113,$83.25,$85.00,$81.869
10/08/2025,$84.65,1750,$86.86,$86.86,$81.91
10/07/2025,$85.15,2459,$85.00,$87.988,$83.56
10/06/2025,$85.01,3413,$88.60,$88.60,$83.73
10/03/2025,$86.128,2011,$84.169,$88.49,$84.169
10/02/2025,$86.00,3553,$85.62,$88.83,$85.068
10/01/2025,$87.70,4230,$86.926,$90.92,$86.43
09/30/2025,$88.55,43853,$88.59,$88.59,$84.02
09/29/2025,$86.61,2279,$83.92,$88.75,$83.92
09/26/2025,$87.44,2821,$84.59,$87.44,$84.09
09/25/2025,$85.65,2451,$83.625,$86.625,$83.25
09/24/2025,$86.647,2660,$86.36,$90.442,$86.23
09/23/2025,$86.79,3108,$84.01,$86.79,$84.00
09/22/2025,$86.50,3374,$85.37,$88.62,$83.74
09/19/2025,$87.81,4473,$84.35,$89.222,$84.35
09/18/2025,$89.6675,2670,$91.46,$92.03,$88.25
09/17/2025,$91.385,1695,$92.45,$94.171,$89.84
09/16/2025,$94.51,2672,$96.29,$96.29,$91.38
09/15/2025,$95.90,1826,$94.17,$98.67,$94.17
09/12/2025,$94.253,1312,$98.74,$98.74,$93.873
09/11/2025,$95.908,1052,$98.32,$99.00,$94.48
09/10/2025,$93.80,1657,$96.66,$96.66,$92.021
09/09/2025,$94.00,645,$95.07,$95.07,$91.146
09/08/2025,$94.34,5052,$95.719,$96.21,$91.30
09/05/2025,$89.80,2965,$89.90,$92.123,$88.307
09/04/2025,$90.44,2996,$88.25,$92.03,$87.13
09/03/2025,$88.25,2447,$90.71,$90.90,$86.634
09/02/2025,$89.91,3969,$89.86,$89.91,$85.797
08/29/2025,$90.80,1438,$90.24,$92.50,$88.916
08/28/2025,$92.365,1813,$93.29,$93.529,$91.278
08/27/2025,$91.00,1326,$93.81,$98.85,$88.60
08/26/2025,$93.808,80477,$94.06,$94.08,$89.06
08/25/2025,$94.549,3200,$90.59,$95.13,$90.59
08/22/2025,$94.51,1591,$90.10,$95.17,$90.10
08/21/2025,$92.74,3101,$90.15,$94.81,$90.15
08/20/2025,$91.662,1879,$95.00,$96.09,$91.17
08/19/2025,$96.50,474,$95.38,$99.39,$94.37
08/18/2025,$99.65,5130,$101.01,$101.01,$97.198
08/15/2025,$97.78,3637,$99.14,$100.11,$95.45
08/14/2025,$97.15,1408,$98.355,$98.538,$94.17
08/13/2025,$96.58,1975,$95.75,$97.181,$94.629
08/12/2025,$95.74,2105,$98.156,$98.156,$95.115
08/11/2025,$95.989,4053,$96.53,$98.2513,$95.63
08/08/2025,$97.40,3247,$95.00,$99.60,$94.71
08/07/2025,$94.00,3245,$95.523,$95.523,$91.29
08/06/2025,$93.154,6973,$91.00,$93.154,$88.63
08/05/2025,$92.558,1462,$90.30,$92.73,$88.29
08/04/2025,$90.30,3155,$87.56,$91.023,$87.56
08/01/2025,$85.75,5151,$85.63,$87.05,$81.33
07/31/2025,$84.21,4136,$86.8299,$86.8299,$81.65
07/30/2025,$85.427,2218,$83.30,$88.27,$83.30
07/29/2025,$86.99,1015,$88.708,$89.20,$84.28
07/28/2025,$86.138,1566,$84.66,$89.27,$84.32
07/25/2025,$86.70,1240,$89.56,$89.56,$86.00
07/24/2025,$89.40,3631,$90.00,$92.05,$87.579
07/23/2025,$88.41,1334,$90.397,$90.397,$86.24
07/22/2025,$87.90,82134,$87.495,$89.84,$85.25
07/21/2025,$88.50,3091,$90.11,$90.11,$86.094
07/18/2025,$85.34,23959,$87.15,$89.39,$85.34
07/17/2025,$88.965,1684,$89.39,$89.543,$85.635
07/16/2025,$85.80,52819,$86.54,$87.423,$85.31
07/15/2025,$84.20,2119,$84.805,$86.95,$83.815
07/14/2025,$84.91,2663,$84.10,$87.33,$82.65
07/11/2025,$84.238,2769,$87.729,$88.00,$83.873
07/10/2025,$87.01,1309,$84.43,$88.77,$83.86
07/09/2025,$88.51,3580,$86.6301,$90.654,$86.6301
07/08/2025,$89.41,2257,$91.335,$91.80,$87.365
07/07/2025,$90.38,4471,$90.98,$93.13,$89.91
07/03/2025,$93.302,2344,$91.50,$93.72,$90.36
07/02/2025,$91.15,2584,$92.00,$92.81,$88.584
07/01/2025,$92.00,5038,$95.33,$95.33,$90.33
06/30/2025,$96.35,261715,$98.6299,$98.6299,$93.65
06/27/2025,$95.00,1779,$94.00,$95.00,$92.20
06/26/2025,$93.32,1116,$90.2901,$94.00,$90.2901
06/25/2025,$90.82,15571,$90.04,$94.22,$89.70
06/24/2025,$89.3547,392,$90.842,$90.842,$86.70
06/23/2025,$85.478,3249,$87.59,$89.301,$84.545
06/20/2025,$87.60,13685,$90.71,$90.71,$85.69
06/18/2025,$91.10,5680,$88.81,$92.79,$88.81
06/17/2025,$85.60,9512,$87.9499,$87.9499,$84.00
06/16/2025,$83.99,48349,$82.72,$85.57,$81.386
06/13/2025,$82.725,1580,$85.00,$85.00,$80.48
06/12/2025,$84.50,2757,$83.33,$84.50,$80.00
06/11/2025,$80.80,4678,$83.45,$83.45,$80.80
06/10/2025,$84.80,3064,$84.80,$85.00,$81.31
06/09/2025,$83.20,8098,$83.40,$86.00,$81.26
06/06/2025,$83.40,2444,$83.00,$85.38,$80.45
06/05/2025,$82.88,4040,$82.31,$85.14,$80.25
06/04/2025,$82.31,3940,$82.11,$86.00,$81.5301
06/03/2025,$81.11,1621,$79.41,$84.37,$79.41
06/02/2025,$82.36,722,$79.69,$84.256,$79.69
05/30/2025,$83.75,2025,$84.47,$84.47,$79.58
05/29/2025,$84.40,2927,$82.13,$86.064,$82.13
05/28/2025,$83.72,2110,$86.279,$86.279,$83.72
05/27/2025,$84.04,3102,$82.88,$87.70,$82.88
05/23/2025,$82.25,2887,$83.77,$83.77,$79.70
05/22/2025,$77.34,3599,$79.814,$80.27,$75.35
05/21/2025,$78.19,19163,$79.84,$82.50,$77.77
05/20/2025,$79.84,10087,$82.25,$82.49,$76.28
05/19/2025,$82.038,4099,$76.28,$88.1499,$76.28
05/16/2025,$80.40,2715,$80.078,$80.50,$76.52
05/15/2025,$78.92,2072,$81.50,$81.50,$76.702
05/14/2025,$78.65,979,$80.00,$83.05,$78.00
05/13/2025,$81.01,1840,$88.35,$88.35,$76.40
05/12/2025,$84.50,1662,$85.00,$88.40,$78.53
05/09/2025,$82.9725,2039,$89.45,$89.45,$80.39
05/08/2025,$82.73,8513,$87.70,$90.736,$78.48
05/07/2025,$86.50,2575,$86.25,$88.192,$83.84
05/06/2025,$86.51,3410,$83.9501,$88.603,$83.9501
05/05/2025,$84.19,1293,$83.98,$88.444,$83.98
05/02/2025,$87.255,3462,$85.418,$88.39,$84.08
