Date,Close/Last,Volume,Open,High,Low
12/19/2025,$25.40,5702844,$25.62,$25.67,$25.37
12/18/2025,$25.91,4961962,$26.19,$26.24,$25.885
12/17/2025,$25.96,5770848,$26.20,$26.23,$25.91
12/16/2025,$26.45,3381597,$26.33,$26.585,$26.30
12/15/2025,$26.64,3347251,$26.86,$26.86,$26.61
12/12/2025,$26.77,4069863,$26.87,$26.91,$26.59
12/11/2025,$26.73,5588092,$26.75,$26.93,$26.66
12/10/2025,$27.08,4940478,$26.82,$27.13,$26.74
12/09/2025,$27.56,2901208,$27.75,$27.82,$27.54
12/08/2025,$27.55,3198814,$27.70,$27.795,$27.53
12/05/2025,$28.03,3012750,$28.07,$28.17,$27.96
12/04/2025,$28.29,2812844,$28.53,$28.57,$28.22
12/03/2025,$28.46,3461266,$28.15,$28.47,$28.02
12/02/2025,$28.57,3187135,$28.83,$28.83,$28.485
12/01/2025,$28.78,5589757,$28.66,$28.865,$28.5299
11/28/2025,$29.35,1250837,$29.28,$29.36,$29.21
11/26/2025,$29.08,2933829,$29.105,$29.24,$29.06
11/25/2025,$28.60,3038666,$28.12,$28.605,$28.08
11/24/2025,$29.01,2859921,$28.62,$29.045,$28.57
11/21/2025,$28.53,3959853,$28.68,$28.825,$28.3631
11/20/2025,$27.75,5021691,$28.54,$28.68,$27.75
11/19/2025,$28.55,5382618,$28.19,$28.61,$28.065
11/18/2025,$28.67,3136991,$28.58,$28.82,$28.4198
11/17/2025,$29.09,3908278,$29.27,$29.41,$28.88
11/14/2025,$30.12,5121588,$29.97,$30.33,$29.85
11/13/2025,$29.44,5123304,$30.00,$30.005,$29.43
11/12/2025,$30.26,5464646,$30.12,$30.34,$29.98
11/11/2025,$29.16,6900110,$29.415,$29.59,$28.43
11/10/2025,$27.97,3324960,$27.94,$28.055,$27.80
11/07/2025,$27.71,2969026,$27.65,$27.71,$27.345
11/06/2025,$28.29,2600881,$28.25,$28.41,$28.065
11/05/2025,$28.08,3892559,$27.89,$28.12,$27.875
11/04/2025,$27.91,3182806,$27.72,$27.96,$27.69
11/03/2025,$27.95,2581272,$27.97,$28.05,$27.795
10/31/2025,$27.89,3021899,$28.15,$28.23,$27.805
10/30/2025,$27.75,6245778,$27.60,$27.8998,$27.55
10/29/2025,$28.18,3628588,$28.46,$28.47,$28.06
10/28/2025,$28.99,2073253,$28.88,$29.05,$28.78
10/27/2025,$28.70,1878189,$28.83,$28.88,$28.68
10/24/2025,$28.65,2769085,$28.86,$28.86,$28.595
10/23/2025,$28.71,4064060,$28.80,$28.88,$28.59
10/22/2025,$28.75,2899925,$28.74,$28.94,$28.535
10/21/2025,$29.14,2665160,$29.00,$29.22,$28.9728
10/20/2025,$29.19,5311384,$29.34,$29.49,$29.17
10/17/2025,$28.90,4124642,$28.64,$29.055,$28.62
10/16/2025,$28.50,4430554,$28.76,$28.77,$28.42
10/15/2025,$28.89,2482740,$28.97,$29.07,$28.605
10/14/2025,$28.83,3963670,$28.28,$28.965,$28.26
10/13/2025,$28.87,3402885,$28.59,$28.9699,$28.5622
10/10/2025,$28.25,6862123,$28.88,$28.985,$28.005
10/09/2025,$29.84,5144678,$30.25,$30.285,$29.6912
10/08/2025,$29.75,3975127,$29.90,$29.9586,$29.75
10/07/2025,$29.74,10172320,$29.82,$30.00,$29.69
10/06/2025,$30.10,6413704,$30.10,$30.195,$30.03
10/03/2025,$28.96,4296681,$28.68,$29.00,$28.67
10/02/2025,$28.08,6133321,$28.07,$28.14,$27.79
10/01/2025,$28.74,2947264,$28.79,$29.01,$28.73
09/30/2025,$28.79,3455065,$28.71,$28.80,$28.54
09/29/2025,$29.10,3049339,$29.04,$29.13,$28.97
09/26/2025,$29.04,5873510,$28.884,$29.3667,$28.806
09/25/2025,$29.0888,4792312,$28.9815,$29.163,$28.7328
09/24/2025,$28.6109,5517438,$28.4744,$28.6889,$28.4354
09/23/2025,$29.0205,3734516,$29.157,$29.157,$28.9717
09/22/2025,$28.9912,3854530,$28.767,$29.0205,$28.7573
09/19/2025,$28.6304,4238955,$28.7475,$28.7523,$28.5632
09/18/2025,$29.3228,4258227,$29.2935,$29.4983,$29.1765
09/17/2025,$28.4354,3240529,$28.2989,$28.5865,$28.177
09/16/2025,$28.1039,2809118,$28.1039,$28.1136,$27.8406
09/15/2025,$28.6109,2900585,$28.6499,$28.7084,$28.4842
09/12/2025,$28.4842,4680754,$28.2794,$28.6743,$28.2404
09/11/2025,$28.4647,4384121,$28.0551,$28.5134,$28.0551
09/10/2025,$27.9381,3934213,$28.1624,$28.2599,$27.8601
09/09/2025,$27.9966,3214315,$28.0356,$28.0697,$27.8698
09/08/2025,$27.9576,4596135,$27.5968,$27.9966,$27.5773
09/05/2025,$26.8849,2620614,$27.0994,$27.1482,$26.7728
09/04/2025,$27.1482,3226232,$26.8557,$27.1726,$26.8362
09/03/2025,$26.3583,3295949,$26.2901,$26.4168,$26.2316
09/02/2025,$26.2803,4919100,$26.134,$26.4071,$25.9304
08/29/2025,$26.8362,3038041,$26.9044,$26.9288,$26.7533
08/28/2025,$27.3042,4573840,$27.3725,$27.4504,$27.275
08/27/2025,$27.1482,3643123,$26.9142,$27.1628,$26.8557
08/26/2025,$27.1872,2821219,$27.0994,$27.2457,$27.0312
08/25/2025,$27.4212,3237503,$27.548,$27.6455,$27.4212
08/22/2025,$27.8991,4489819,$27.6163,$27.9771,$27.5773
08/21/2025,$26.9434,2930222,$26.9971,$27.1181,$26.8654
08/20/2025,$27.4212,2823684,$27.3627,$27.4505,$27.197
08/19/2025,$27.5383,2849740,$27.587,$27.7235,$27.5188
08/18/2025,$27.6455,3244281,$27.587,$27.704,$27.5188
08/15/2025,$28.0258,5183717,$28.2696,$28.4354,$27.9527
08/14/2025,$27.0507,2316987,$27.0117,$27.1091,$26.8752
08/13/2025,$27.2847,3798116,$27.0702,$27.3432,$27.0214
08/12/2025,$26.5144,4994803,$26.4754,$26.5924,$26.3486
08/11/2025,$26.6021,3651433,$26.4754,$26.6753,$26.4607
08/08/2025,$26.4754,4947030,$26.2316,$26.6119,$26.2316
08/07/2025,$25.3832,6712824,$25.4417,$26.0463,$25.2077
08/06/2025,$24.3008,5571805,$24.408,$24.4275,$24.2081
08/05/2025,$23.9205,3702942,$23.979,$24.0584,$23.7742
08/04/2025,$24.1447,2362176,$23.9107,$24.1545,$23.9107
08/01/2025,$23.7644,4951309,$23.7157,$23.8132,$23.5743
07/31/2025,$23.7157,3787577,$23.9692,$23.9692,$23.6133
07/30/2025,$23.5987,2794236,$23.7644,$23.7888,$23.506
07/29/2025,$23.5499,3296953,$23.7352,$23.8132,$23.5109
07/28/2025,$23.7547,2298290,$23.8181,$23.8815,$23.6864
07/25/2025,$24.2618,3727406,$24.3885,$24.4178,$24.174
07/24/2025,$24.7493,5830291,$25.0516,$25.0516,$24.7201
07/23/2025,$24.6323,5848217,$24.5251,$24.9639,$24.5153
07/22/2025,$23.4914,2899498,$23.5109,$23.5548,$23.4378
07/21/2025,$23.4719,2751870,$23.4036,$23.6377,$23.3939
07/18/2025,$23.3256,3080666,$23.5011,$23.5401,$23.2915
07/17/2025,$23.8034,5557700,$23.6962,$23.8327,$23.6279
07/16/2025,$23.3841,7648996,$23.2379,$23.3841,$23.1842
07/15/2025,$23.4816,5238643,$23.6084,$23.6377,$23.4426
07/14/2025,$23.7937,3246614,$23.7449,$23.8327,$23.6669
07/11/2025,$23.8229,4546685,$23.8815,$23.8815,$23.7157
07/10/2025,$24.0375,6566525,$24.1301,$24.1545,$23.9497
07/09/2025,$24.5446,3866873,$24.5055,$24.5641,$24.3885
07/08/2025,$24.6226,3702673,$24.6518,$24.6811,$24.5055
07/07/2025,$24.6713,4072388,$24.7786,$24.9054,$24.5251
07/03/2025,$24.9444,2282827,$24.8078,$25.0126,$24.7298
07/02/2025,$25.0711,4646206,$24.8469,$25.0906,$24.8371
07/01/2025,$24.8371,8264251,$24.7688,$24.9639,$24.6518
06/30/2025,$25.3832,4394825,$25.1589,$25.4027,$25.0809
06/27/2025,$25.6465,6147996,$25.6855,$25.783,$25.4953
06/26/2025,$24.9054,5198043,$24.7201,$24.9736,$24.7006
06/25/2025,$24.3008,3555154,$24.3885,$24.4129,$24.2423
06/24/2025,$24.369,6395653,$24.1252,$24.4032,$24.0521
06/23/2025,$23.8132,8944579,$23.4036,$23.8424,$23.3061
06/20/2025,$24.135,8333681,$24.3788,$24.3788,$24.0765
06/18/2025,$25.2369,2880672,$25.3247,$25.4417,$25.2077
06/17/2025,$25.0224,4487991,$25.1296,$25.2954,$25.0029
06/16/2025,$25.4417,3965382,$25.4124,$25.666,$25.4027
06/13/2025,$25.2857,5147301,$25.2857,$25.51,$25.193
06/12/2025,$25.744,3234502,$25.4807,$25.744,$25.4514
06/11/2025,$25.2662,4030885,$25.4612,$25.5295,$25.2515
06/10/2025,$25.549,3360193,$25.6806,$25.7147,$25.4027
06/09/2025,$25.9293,3611240,$25.8415,$26.0268,$25.8122
06/06/2025,$25.9975,2952479,$26.0073,$26.0707,$25.9293
06/05/2025,$25.6757,4180788,$25.822,$25.8903,$25.6026
06/04/2025,$26.0073,3289827,$26.0853,$26.1145,$25.939
06/03/2025,$26.1048,5805325,$26.0268,$26.2121,$26.0268
06/02/2025,$26.2121,6198737,$25.8171,$26.2706,$25.8025
05/30/2025,$25.7245,6793014,$25.8025,$25.8513,$25.4222
05/29/2025,$25.9585,10688720,$26.2754,$26.2754,$25.8415
05/28/2025,$25.6465,6134771,$25.6855,$25.7635,$25.5538
05/27/2025,$25.90,6992462,$25.3734,$25.9378,$25.3149
05/23/2025,$24.8956,6527676,$24.7298,$25.0321,$24.6616
05/22/2025,$24.7006,5037019,$24.7103,$24.8078,$24.5543
05/21/2025,$24.2715,5083419,$24.8127,$24.8566,$24.2618
05/20/2025,$25.1589,7332757,$24.8859,$25.3052,$24.5933
05/19/2025,$24.4178,7554459,$24.0375,$24.4373,$23.979
05/16/2025,$24.0667,4069563,$24.0277,$24.1447,$23.8668
05/15/2025,$24.252,13791740,$24.4763,$24.5251,$24.2179
05/14/2025,$24.2618,13840450,$24.6226,$24.9834,$24.1837
05/13/2025,$23.9302,12707900,$24.174,$24.2764,$23.8912
05/12/2025,$24.1252,7759684,$24.1837,$24.2813,$23.979
05/09/2025,$24.0862,3015857,$24.0667,$24.1935,$24.0376
05/08/2025,$23.8424,5040884,$23.8327,$24.1155,$23.7449
05/07/2025,$24.3983,4848328,$24.369,$24.663,$24.2081
05/06/2025,$24.6031,5322946,$24.6421,$24.7006,$24.4763
05/05/2025,$24.6128,5593254,$24.5738,$24.7298,$24.5153
05/02/2025,$24.7006,6866497,$24.408,$24.7981,$24.3398
05/01/2025,$24.6518,7461417,$24.92,$24.9249,$24.6079
